,Player,Club,Appearances
0,Iker Casillas,Real Madrid CF,150
1,Iker Casillas,FC Porto,27
2,Cristiano Ronaldo,Manchester United FC,52
3,Cristiano Ronaldo,Real Madrid CF,101
4,Cristiano Ronaldo,Juventus,23
5,Xavi Hernández,FC Barcelona,151
6,Lionel Messi,FC Barcelona,149
7,Raúl González,Real Madrid CF,130
8,Raúl González,FC Schalke 04,12
9,Ryan Giggs,Manchester United FC,141
10,Andrés Iniesta,FC Barcelona,130
11,Sergio Ramos,Real Madrid CF,128
12,Karim Benzema,Olympique Lyonnais,19
13,Karim Benzema,Real Madrid CF,107
14,Clarence Seedorf,AFC Ajax,11
15,Clarence Seedorf,Real Madrid CF,25
16,Clarence Seedorf,AC Milan,89
17,Gianluigi Buffon,Parma FC,6
18,Gianluigi Buffon,Paris Saint-Germain,5
19,Gianluigi Buffon,Juventus,113
20,Paul Scholes,Manchester United FC,124
21,Thomas Müller,FC Bayern München,122
22,Roberto Carlos,Real Madrid CF,107
23,Roberto Carlos,Fenerbahçe SK,13
24,Xabi Alonso,Real Sociedad de Fútbol,8
25,Xabi Alonso,Liverpool FC,39
26,Xabi Alonso,Real Madrid CF,47
27,Xabi Alonso,FC Bayern München,25
28,Sergio Busquets,FC Barcelona,119
29,Zlatan Ibrahimović,AFC Ajax,19
30,Zlatan Ibrahimović,Juventus,18
31,Zlatan Ibrahimović,FC Internazionale Milano,22
32,Zlatan Ibrahimović,FC Barcelona,10
33,Zlatan Ibrahimović,AC Milan,16
34,Zlatan Ibrahimović,Paris Saint-Germain,33
35,Zlatan Ibrahimović,Manchester United FC,1
36,Gerard Piqué,Manchester United FC,4
37,Gerard Piqué,FC Barcelona,115
38,Manuel Neuer,FC Schalke 04,22
39,Manuel Neuer,FC Bayern München,95
40,Carles Puyol,FC Barcelona,115
41,Thierry Henry,AS Monaco FC,9
42,Thierry Henry,FC Barcelona,26
43,Thierry Henry,Arsenal FC,77
44,Philipp Lahm,VfB Stuttgart,7
45,Philipp Lahm,FC Bayern München,105
46,Dani Alves,Sevilla FC,8
47,Dani Alves,FC Barcelona,80
48,Dani Alves,Juventus,12
49,Dani Alves,Paris Saint-Germain,11
50,Petr Čech,AC Sparta Praha,12
51,Petr Čech,Chelsea FC,94
52,Petr Čech,Arsenal FC,5
53,Toni Kroos,FC Bayern München,41
54,Toni Kroos,Real Madrid CF,70
55,Arjen Robben,PSV Eindhoven,10
56,Arjen Robben,Chelsea FC,19
57,Arjen Robben,Real Madrid CF,11
58,Arjen Robben,FC Bayern München,70
59,Paolo Maldini,AC Milan,109
60,Gary Neville,Manchester United FC,109
61,John Terry,Chelsea FC,109
62,Ashley Cole,Arsenal FC,45
63,Ashley Cole,Chelsea FC,60
64,Ashley Cole,AS Roma,3
65,Patrice Evra,AS Monaco FC,21
66,Patrice Evra,Manchester United FC,65
67,Patrice Evra,Juventus,22
68,Andrea Pirlo,FC Internazionale Milano,5
69,Andrea Pirlo,AC Milan,78
70,Andrea Pirlo,Juventus,25
71,David Beckham,Manchester United FC,77
72,David Beckham,Real Madrid CF,26
73,David Beckham,AC Milan,2
74,David Beckham,Paris Saint-Germain,2
75,Víctor Valdés,FC Barcelona,106
76,Frank Lampard,Chelsea FC,102
77,Frank Lampard,Manchester City FC,3
78,Cesc Fàbregas,Arsenal FC,55
79,Cesc Fàbregas,FC Barcelona,26
80,Cesc Fàbregas,Chelsea FC,23
81,Oliver Kahn,FC Bayern München,103
82,Luís Figo,FC Barcelona,24
83,Luís Figo,Real Madrid CF,58
84,Luís Figo,FC Internazionale Milano,21
85,Pepe,Real Madrid CF,71
86,Pepe,Beşiktaş JK,6
87,Pepe,FC Porto,25
88,Andriy Shevchenko,AC Milan,59
89,Andriy Shevchenko,Chelsea FC,15
90,Andriy Shevchenko,FC Dynamo Kyiv,26
91,Alessandro Nesta,SS Lazio,21
92,Alessandro Nesta,AC Milan,78
93,Edwin van der Sar,AFC Ajax,38
94,Edwin van der Sar,Juventus,6
95,Edwin van der Sar,Manchester United FC,54
96,Marcelo,Real Madrid CF,98
97,Guti,Real Madrid CF,97
98,Javier Zanetti,FC Internazionale Milano,97
99,Robert Lewandowski,Borussia Dortmund,28
100,Robert Lewandowski,FC Bayern München,68
101,Claude Makelele,FC Nantes,9
102,Claude Makelele,Real Madrid CF,38
103,Claude Makelele,Chelsea FC,49
104,Javier Mascherano,Liverpool FC,28
105,Javier Mascherano,FC Barcelona,68
106,Bastian Schweinsteiger,FC Bayern München,89
107,Bastian Schweinsteiger,Manchester United FC,6
108,Maxwell,AFC Ajax,23
109,Maxwell,FC Internazionale Milano,13
110,Maxwell,FC Barcelona,17
111,Maxwell,Paris Saint-Germain,41
112,Michael Ballack,1. FC Kaiserslautern,6
113,Michael Ballack,FC Bayern München,28
114,Michael Ballack,Chelsea FC,33
115,Michael Ballack,Bayer 04 Leverkusen,26
116,Rio Ferdinand,Leeds United,7
117,Rio Ferdinand,Manchester United FC,86
118,Fernando Morientes,AS Monaco FC,12
119,Fernando Morientes,Real Madrid CF,58
120,Fernando Morientes,Liverpool FC,5
121,Fernando Morientes,Valencia CF,14
122,Fernando Morientes,Olympique de Marseille,4
123,Fernandinho,FC Shakhtar Donetsk,30
124,Fernandinho,Manchester City FC,63
125,Didier Drogba,Olympique de Marseille,6
126,Didier Drogba,Galatasaray AŞ,12
127,Didier Drogba,Chelsea FC,74
