,Player,Club,Goals
0,Cristiano Ronaldo,Manchester United FC,15
1,Cristiano Ronaldo,Real Madrid CF,105
2,Cristiano Ronaldo,Juventus,14
3,Lionel Messi,FC Barcelona,120
4,Robert Lewandowski,Borussia Dortmund,17
5,Robert Lewandowski,FC Bayern München,56
6,Raúl González,Real Madrid CF,66
7,Raúl González,FC Schalke 04,5
8,Karim Benzema,Olympique Lyonnais,12
9,Karim Benzema,Real Madrid CF,58
10,Ruud van Nistelrooy,PSV Eindhoven,8
11,Ruud van Nistelrooy,Manchester United FC,35
12,Ruud van Nistelrooy,Real Madrid CF,13
13,Thierry Henry,AS Monaco FC,7
14,Thierry Henry,Arsenal FC,35
15,Thierry Henry,FC Barcelona,8
16,Zlatan Ibrahimović,AFC Ajax,6
17,Zlatan Ibrahimović,Juventus,3
18,Zlatan Ibrahimović,FC Internazionale Milano,6
19,Zlatan Ibrahimović,FC Barcelona,4
20,Zlatan Ibrahimović,AC Milan,9
21,Zlatan Ibrahimović,Paris Saint-Germain,20
22,Zlatan Ibrahimović,Manchester United FC,0
23,Andriy Shevchenko,AC Milan,29
24,Andriy Shevchenko,Chelsea FC,4
25,Andriy Shevchenko,FC Dynamo Kyiv,15
26,Thomas Müller,FC Bayern München,47
27,Filippo Inzaghi,Juventus,17
28,Filippo Inzaghi,AC Milan,29
29,Didier Drogba,Olympique de Marseille,5
30,Didier Drogba,Galatasaray AŞ,3
31,Didier Drogba,Chelsea FC,36
32,Sergio Agüero,Club Atlético de Madrid,5
33,Sergio Agüero,Manchester City FC,36
34,Neymar,FC Barcelona,21
35,Neymar,Paris Saint-Germain,20
36,Alessandro Del Piero,Juventus,41
37,Edinson Cavani,SSC Napoli,5
38,Edinson Cavani,Paris Saint-Germain,30
39,Edinson Cavani,Manchester United FC,0
40,Fernando Morientes,Real Madrid CF,17
41,Fernando Morientes,AS Monaco FC,9
42,Fernando Morientes,Liverpool FC,1
43,Fernando Morientes,Valencia CF,6
44,Arjen Robben,PSV Eindhoven,3
45,Arjen Robben,Chelsea FC,2
46,Arjen Robben,Real Madrid CF,1
47,Arjen Robben,FC Bayern München,25
48,Samuel Eto’o,RCD Mallorca,1
49,Samuel Eto’o,FC Barcelona,16
50,Samuel Eto’o,FC Internazionale Milano,10
51,Samuel Eto’o,Chelsea FC,3
52,Kaká,Real Madrid CF,5
53,Kaká,AC Milan,25
54,Wayne Rooney,Manchester United FC,30
55,Patrick Kluivert,AFC Ajax,9
56,Patrick Kluivert,FC Barcelona,20
57,Roy Makaay,Real Club Deportivo La Coruña,12
58,Roy Makaay,FC Bayern München,17
59,David Trezeguet,AS Monaco FC,4
60,David Trezeguet,Juventus,25
61,Ryan Giggs,Manchester United FC,28
62,Rivaldo,FC Barcelona,22
63,Rivaldo,AC Milan,2
64,Rivaldo,Olympiacos FC,3
65,Mohamed Salah,FC Basel 1893,2
66,Mohamed Salah,Chelsea FC,0
67,Mohamed Salah,AS Roma,1
68,Mohamed Salah,Liverpool FC,24
69,Mario Gomez,VfB Stuttgart,3
70,Mario Gomez,FC Bayern München,23
71,Luis Suárez,AFC Ajax,1
72,Luis Suárez,FC Barcelona,25
73,Luis Suárez,Club Atlético de Madrid,0
74,Jardel,FC Porto,19
75,Jardel,Galatasaray AŞ,6
76,Hernán Crespo,Parma FC,2
77,Hernán Crespo,SS Lazio,2
78,Hernán Crespo,AC Milan,6
79,Hernán Crespo,Chelsea FC,4
80,Hernán Crespo,FC Internazionale Milano,11
81,Giovane Elber,FC Bayern München,22
82,Giovane Elber,Olympique Lyonnais,3
83,Antoine Griezmann,Club Atlético de Madrid,21
84,Antoine Griezmann,FC Barcelona,4
85,Kylian Mbappé,AS Monaco FC,6
86,Kylian Mbappé,Paris Saint-Germain,19
87,Robin van Persie,Arsenal FC,18
88,Robin van Persie,Manchester United FC,7
89,Gonzalo Higuaín,Real Madrid CF,8
90,Gonzalo Higuaín,SSC Napoli,4
91,Gonzalo Higuaín,Juventus,12
92,Luís Figo,FC Barcelona,7
93,Luís Figo,Real Madrid CF,16
94,Luís Figo,FC Internazionale Milano,1
95,Paul Scholes,Manchester United FC,24
96,Frank Lampard,Chelsea FC,23
97,Frank Lampard,Manchester City FC,0
98,Jari Litmanen,Liverpool FC,3
99,Jari Litmanen,AFC Ajax,20
100,Ángel Di María,Real Madrid CF,8
101,Ángel Di María,Paris Saint-Germain,14
102,Edin Džeko,VfL Wolfsburg,4
103,Edin Džeko,Manchester City FC,3
104,Edin Džeko,AS Roma,15
105,Steven Gerrard,Liverpool FC,21
106,Luiz Adriano,FC Shakhtar Donetsk,20
107,Luiz Adriano,FC Spartak Moskva,1
108,Mario Mandžukić,FC Bayern München,6
109,Mario Mandžukić,Club Atlético de Madrid,5
110,Mario Mandžukić,Juventus,10
