,Player,Goals
0,Cristiano Ronaldo,134
1,Lionel Messi,120
2,Robert Lewandowski,73
3,Raúl González,71
4,Karim Benzema,70
5,Ruud van Nistelrooy,56
6,Thierry Henry,50
7,Zlatan Ibrahimović,48
8,Andriy Shevchenko,48
9,Thomas Müller,47
10,Filippo Inzaghi,46
11,Didier Drogba,44
12,Sergio Agüero,41
13,Neymar,41
14,Alessandro Del Piero,41
15,Edinson Cavani,35
16,Fernando Morientes,33
17,Arjen Robben,31
18,Samuel Eto’o,30
19,Kaká,30
20,Wayne Rooney,30
21,Patrick Kluivert,29
22,Roy Makaay,29
23,David Trezeguet,29
24,Ryan Giggs,28
25,Rivaldo,27
26,Mohamed Salah,27
27,Mario Gomez,26
28,Luis Suárez,26
29,Jardel,25
30,Hernán Crespo,25
31,Giovane Elber,25
32,Antoine Griezmann,25
33,Kylian Mbappé,25
34,Robin van Persie,25
35,Gonzalo Higuaín,24
36,Luís Figo,24
37,Paul Scholes,24
38,Frank Lampard,23
39,Jari Litmanen,23
40,Ángel Di María,22
41,Edin Džeko,22
42,Steven Gerrard,21
43,Luiz Adriano,21
44,Mario Mandžukić,21
45,Álvaro Morata,21
46,Claudio Pizarro,21
47,Raheem Sterling,21
48,Nicolas Anelka,20
49,Gareth Bale,20
50,Cesc Fàbregas,20
51,Erling Haaland,(10)
52,Harry Kane,20
53,Serhiy Rebrov,20
54,Marco Simone,20
55,Fernando Torres,20
56,Julio Cruz,19
57,Lisandro,19
58,Sadio Mané,19
59,Luis Enrique,19
60,Ole Gunnar Solskjær,19
61,Willian,18
62,John Carew,18
63,Andy Cole,18
64,Ronaldinho,18
65,Olivier Giroud,18
66,Lucho González,18
67,Juninho Pernambucano,18
68,Franck Ribéry,18
69,Javier Saviola,18
70,Marco Reus,17
71,Heung-Min Son,17
72,Francesco Totti,17
73,Hulk,17
74,Michael Ballack,16
75,David Beckham,16
76,Roberto Carlos,16
77,Guti,16
78,Gabriel Jesus,16
79,Dries Mertens,16
80,Pedro Rodríguez,16
81,Roberto Soldado,16
82,Pierre-Emerick Aubameyang,15
83,Seydou Doumbia,15
84,Paulo Dybala,15
85,Roberto Firmino,15
86,Iván Helguera,15
87,Simone Inzaghi,15
88,Pavel Nedvěd,15
89,Gerard Piqué,15
90,Sergio Ramos,15
91,Diego Tristán,15
92,Theo Walcott,15
93,Sylvain Wiltord,15
94,Vincent Aboubakar,14
95,Javier Hernández,14
96,Klaas Jan Huntelaar,14
97,Miroslav Klose,14
98,Adriano,14
99,Kostas Mitroglou,14
100,Ronaldo,14
101,Robert Pirès,14
102,Arturo Vidal,14
103,David Villa,14
104,Zinédine Zidane,14
105,Dimitar Berbatov,13
106,Peter Crouch,13
107,Sonny Anderson,13
108,Deco,13
109,Carsten Jancker,13
110,Jan Koller,13
111,Fredrik Ljungberg,13
112,Romelu Lukaku,13
113,Jackson Martínez,13
114,Lukas Podolski,13
115,Hakan Şükür,13
116,Carlos Tévez,13
117,Dani Alves,12
118,Philippe Coutinho,12
119,Radamel Falcao,12
120,Mario Götze,12
121,Roy Keane,12
122,Walter Pandiani,12
123,Alexis Sánchez,12
124,Mehmet Scholl,12
125,Bastian Schweinsteiger,12
126,Paulo Sérgio,12
127,Giovanni,12
128,Wesley Sneijder,12
129,Emmanuel Adebayor,11
130,Sávio,11
131,Harald Brattbakk,11
132,José Callejón,11
133,Óscar Cardozo,11
134,Kingsley Coman,11
135,Michalis Konstantinou,11
136,Douglas Costa,11
137,Diego Costa,11
138,Michael Essien,11
139,Alberto Gilardino,11
140,Jonas,11
141,Sidney Govou,11
142,Xavi Hernández,11
143,Andrés Iniesta,11
144,Lorenzo Insigne,11
145,Claudio López,11
146,Michael Owen,11
147,Mesut Özil,11
148,Christian Panucci,11
149,Miralem Pjanić,11
150,Marcus Rashford,11
151,Tomáš Rosický,11
152,Clarence Seedorf,11
153,Maksim Shatskikh,11
154,Dejan Stanković,11
155,Roar Strand,11
156,Alex Teixeira,11
157,Jon Dahl Tomasson,11
158,George Weah,11
159,Dwight Yorke,11
160,Zlatko Zahovič,11
161,Ricardo Quaresma,10
162,Wissam Ben Yedder,10
163,Jefferson Farfán,10
164,Luis García,10
165,İlkay Gündoğan,10
166,David Silva,10
167,Joshua Kimmich,10
168,Saúl Ñíguez,10
169,Ivica Olić,10
170,Leroy Sané,10
171,John Terry,10
172,Christian Vieri,10
173,Mirko Vučinić,10
174,Timo Werner,10
175,Burak Yılmaz,10
