,Player,Goals scored,Left foot,Right foot,Header,Other,Inside area,Outside area,Penalties,Team
275,Antonio Rüdiger,0,0,0,0,0,0,0,0,Chelsea
175,Ben Chilwell,1,0,1,0,0,1,0,0,Chelsea
87,Bernardo Silva,1,0,0,1,0,1,0,0,Man. City
60,Callum Hudson-Odoi,2,0,2,0,0,2,0,0,Chelsea
46,Christian Pulišić,2,0,2,0,0,2,0,0,Chelsea
131,Emerson,1,1,0,0,0,1,0,0,Chelsea
196,Felix Nmecha,0,0,0,0,0,0,0,0,Man. City
21,Ferran Torres,4,0,4,0,0,4,0,0,Man. City
58,Gabriel Jesus,2,1,1,0,0,2,0,0,Man. City
63,Hakim Ziyech,2,1,1,0,0,2,0,0,Chelsea
113,Jorginho,1,0,1,0,0,1,0,1,Chelsea
108,João Cancelo,1,1,0,0,0,0,1,0,Man. City
181,Kai Havertz,0,0,0,0,0,0,0,0,Chelsea
24,Kevin De Bruyne,3,1,2,0,0,1,2,0,Man. City
53,Mason Mount,2,0,2,0,0,2,0,0,Chelsea
265,Mateo Kovačić,0,0,0,0,0,0,0,0,Chelsea
266,N'Golo Kanté,0,0,0,0,0,0,0,0,Chelsea
205,Nathan Aké,0,0,0,0,0,0,0,0,Man. City
257,Oleksandr Zinchenko,0,0,0,0,0,0,0,0,Man. City
5,Olivier Giroud,6,3,1,2,0,6,0,1,Chelsea
27,Phil Foden,3,3,0,0,0,2,1,0,Man. City
85,Raheem Sterling,1,0,1,0,0,1,0,0,Man. City
254,Reece James,0,0,0,0,0,0,0,0,Chelsea
16,Riyad Mahrez,4,3,1,0,0,3,1,1,Man. City
56,Sergio Agüero,2,0,2,0,0,2,0,1,Man. City
91,Tammy Abraham,1,1,0,0,0,1,0,0,Chelsea
17,Timo Werner,4,0,3,1,0,4,0,3,Chelsea
37,İlkay Gündoğan,3,0,3,0,0,2,1,0,Man. City
