,Player,Matches Played,Minutes Played,Distance covered,Team
653,Andreas Christensen,6,540,55203 m,Chelsea
721,Antonio Rüdiger,10,832,83123 m,Chelsea
467,Aymeric Laporte,4,277,29367 m,Man. City
168,Ben Chilwell,9,685,78616 m,Chelsea
283,Benjamin Mendy,1,78,8367 m,Man. City
175,Bernardo Silva,12,866,114007 m,Man. City
319,Billy Gilmour,2,95,13224 m,Chelsea
48,Callum Hudson-Odoi,7,339,37814 m,Chelsea
55,Christian Pulišić,9,396,52345 m,Chelsea
200,Cole Palmer,1,8,1425 m,Man. City
723,César Azpilicueta,10,874,96066 m,Chelsea
729,Ederson,11,990,43729 m,Man. City
730,Edouard Mendy,11,990,56349 m,Chelsea
96,Emerson,6,218,25819 m,Chelsea
419,Eric García,3,208,22116 m,Man. City
286,Faustino Anjorin,1,80,10359 m,Chelsea
191,Felix Nmecha,1,5,907 m,Man. City
490,Fernandinho,6,316,37058 m,Man. City
14,Ferran Torres,6,360,39986 m,Man. City
46,Gabriel Jesus,6,237,27231 m,Man. City
51,Hakim Ziyech,10,345,43455 m,Chelsea
697,John Stones,10,706,76554 m,Man. City
178,Jorginho,11,941,114996 m,Chelsea
162,João Cancelo,9,604,69366 m,Man. City
695,Kai Havertz,11,698,91400 m,Chelsea
298,Kepa,1,90,4467 m,Chelsea
34,Kevin De Bruyne,7,609,75894 m,Man. City
594,Kurt Zouma,5,450,43952 m,Chelsea
725,Kyle Walker,10,892,92469 m,Man. City
381,Marcos Alonso,2,180,22413 m,Chelsea
73,Mason Mount,10,680,77229 m,Chelsea
682,Mateo Kovačić,9,593,71300 m,Chelsea
685,N'Golo Kanté,12,619,81093 m,Chelsea
389,Nathan Aké,2,180,19460 m,Man. City
627,Oleksandr Zinchenko,8,496,59195 m,Man. City
2,Olivier Giroud,8,257,28892 m,Chelsea
42,Phil Foden,12,976,122216 m,Man. City
158,Raheem Sterling,10,571,64346 m,Man. City
614,Reece James,9,477,54832 m,Chelsea
22,Riyad Mahrez,11,722,82910 m,Man. City
716,Rodri,10,785,102387 m,Man. City
724,Rúben Dias,10,880,101325 m,Man. City
44,Sergio Agüero,6,134,15941 m,Man. City
99,Tammy Abraham,5,231,26954 m,Chelsea
641,Thiago Silva,7,528,49408 m,Chelsea
188,Thomas Doyle,1,4,1104 m,Man. City
23,Timo Werner,11,750,88050 m,Chelsea
312,Zack Steffen,1,90,3322 m,Man. City
41,İlkay Gündoğan,11,887,106918 m,Man. City
